players__id;players__first_name;players__last_name;players__team_name;players__position;players__position_id;players__position_abbreviation;players__price;players__current_price_change_info__current_selection_count;players__current_price_change_info__current_selection_percentage;players__current_price_change_info__current_total_team_count;players__current_price_change_info__last_selection_count;players__current_price_change_info__last_selection_percentage;players__current_price_change_info__last_total_team_count;players__current_price_change_info__adjusted_negative_movement_percentage_threshold;players__current_price_change_info__adjusted_positive_movement_percentage_threshold;players__current_price_change_info__player_movement_percentage;players__current_price_change_info__last_threshold_percentage_crossed;players__current_price_change_info__probability_price_down_percentage;players__current_price_change_info__probability_price_up_percentage;players__status;players__injured;players__injury_type;players__banned;players__ban_type;players__streak_events_progress__top_ten_in_a_row_race_progress;players__streak_events_progress__top_ten_in_a_row_qualifying_progress;players__chance_of_playing;players__picked_percentage;players__team_abbreviation;players__team_id;players__headshot__profile;players__headshot__pitch_view;players__headshot__player_list;players__known_name;players__jersey_image__url;players__score;players__humanize_status;players__shirt_number;players__country;players__is_constructor;players__season_score;players__driver_data__wins;players__driver_data__podiums;players__driver_data__poles;players__driver_data__fastest_laps;players__driver_data__grands_prix_entered;players__driver_data__titles;players__driver_data__championship_points;players__driver_data__best_finish;players__driver_data__best_finish_count;players__driver_data__best_grid;players__driver_data__best_grid_count;players__driver_data__highest_race_finished;players__driver_data__place_of_birth;players__constructor_data;players__driver_data;players__constructor_data__best_finish;players__constructor_data__best_finish_count;players__constructor_data__best_grid;players__constructor_data__best_grid_count;players__constructor_data__titles;players__constructor_data__championship_points;players__constructor_data__first_season;players__constructor_data__poles;players__constructor_data__fastest_laps;players__constructor_data__country;players__constructor_data__highest_race_finished;players__born_at;players__season_prices__game_period_id;players__season_prices__price;players__num_fixtures_in_gameweek;players__has_fixture;players__display_name;players__external_id;players__profile_image__url;players__misc_image__url;meta__total;
1;Scuderia Ferrari Mission Winnow;;Scuderia Ferrari Mission Winnow;Constructor;2;CR;26.4;57775;74.246;778154;58259;75.103;775725;-0.2557;0.352;-0.1261000000000001;75.507;493.156;0.0;null;False;null;False;null;0;1;1.0;7.4;FER;1;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/1/profile_Ferrari-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/1/pitch_view_Ferrari-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/1/player_list_Ferrari-livery.png;Ferrari;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/teams/jerseys/1/Ferrari-livery.png;0;null;null;null;True;63.0;;;;;;;;;;;;;;;null;1;239;1;221;16;8210.5;1950;221;253;Italy;1 (x239);null;1;27.4;2;True;Ferrari;526:59:FER;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/players/profile/1/Ferrari-livery.png;null;30;
2;Williams Racing;;Williams Racing;Constructor;2;CR;6.4;9502;12.211;778154;9476;12.319;769198;-0.0858;0.0291;-0.04259999999999997;12.637;496.503;0.0;null;False;null;False;null;0;0;1.0;1.2;WIL;2;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/2/profile_Williams-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/2/pitch_view_Williams-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/2/player_list_Williams-livery.png;Williams;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/teams/jerseys/2/Williams-livery.png;0;null;null;null;True;12.0;;;;;;;;;;;;;;;null;1;114;1;129;9;3555.0;1978;129;133;United Kingdom;1 (x114);null;1;6.5;2;True;Williams;481:172:WIL;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/players/profile/2/Williams-livery.png;null;;
3;McLaren F1 Team;;McLaren F1 Team;Constructor;2;CR;15.9;156904;201.636;778154;158829;206.486;769198;-10.605;0.634;-0.40690000000000026;205.705;383.687;0.0;null;False;null;False;null;0;0;1.0;20.1;MCL;3;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/3/profile_McLaren-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/3/pitch_view_McLaren-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/3/player_list_McLaren-livery.png;McLaren;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/teams/jerseys/3/McLaren-livery.png;0;null;null;null;True;90.0;;;;;;;;;;;;;;;null;1;182;1;155;8;5346.5;1966;155;155;United Kingdom;1 (x182);null;1;14.9;2;True;McLaren;529:104:MCL;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/players/profile/3/McLaren-livery.png;null;;
4;Mercedes-AMG Petronas F1 Team;;Mercedes-AMG Petronas F1 Team;Constructor;2;CR;32.2;204509;262.813;778154;198948;258.643;769198;-0.7057;14.454;0.9716000000000022;253.097;0.0;672.201;null;False;null;False;null;0;0;1.0;26.4;MER;4;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/4/profile_Mercedes-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/4/pitch_view_Mercedes-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/4/player_list_Mercedes-livery.png;Mercedes;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/teams/jerseys/4/Mercedes-livery.png;0;null;null;null;True;218.0;;;;;;;;;;;;;;;null;1;93;1;103;6;5112.0;2010;103;66;Germany;1 (x93);null;1;32.2;2;True;Mercedes;543:105:MER;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/players/profile/4/Mercedes-livery.png;null;;
5;Aston Martin Red Bull Racing;;Aston Martin Red Bull Racing;Constructor;2;CR;24.3;162454;208.768;778154;163444;212.156;770394;-0.787;0.918;-0.40249999999999986;212.793;511.436;0.0;null;False;null;False;null;2;0;1.0;20.8;RED;5;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/5/profile_RedBull-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/5/pitch_view_RedBull-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/5/player_list_RedBull-livery.png;Red Bull Racing;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/teams/jerseys/5/RedBull-livery.png;0;null;null;null;True;120.0;;;;;;;;;;;;;;;null;1;62;1;62;4;4724.5;2005;62;65;Austria;1 (x62);null;1;24.6;2;True;Red Bull;536:130:RED;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/players/profile/5/RedBull-livery.png;null;;
6;Renault DP World F1 Team;;Renault DP World F1 Team;Constructor;2;CR;12.1;28859;37.086;778154;29266;37.988;770394;-0.2193;0.1026;-0.10349999999999993;38.121;471.956;0.0;null;False;null;False;null;0;0;1.0;3.7;REN;6;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/6/profile_Renault-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/6/pitch_view_Renault-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/6/player_list_Renault-livery.png;Renault;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/teams/jerseys/6/Renault-livery.png;0;null;null;null;True;56.0;;;;;;;;;;;;;;;null;1;20;1;20;2;1284.0;2002;20;13;France;1 (x20);null;1;12.6;2;True;Renault;184:131:REN;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/players/profile/6/Renault-livery.png;null;;
7;Haas F1 Team;;Haas F1 Team;Constructor;2;CR;7.4;6018;0.7734;778154;6019;0.7746;777052;-0.0501;0.018;-0.0037000000000000366;0.7771;73.852;0.0;null;False;null;False;null;0;0;1.0;0.8;HAA;7;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/7/profile_Haas-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/7/pitch_view_Haas-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/7/player_list_Haas-livery.png;Haas F1 Team;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/teams/jerseys/7/Haas-livery.png;0;null;null;null;True;43.0;;;;;;;;;;;;;;;null;4;1;5;7;0;197.0;2016;0;2;United States;4 (x1);null;1;7.8;2;True;Haas;557:190:HAA;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/players/profile/7/Haas-livery.png;null;;
8;BWT Racing Point F1 Team;;BWT Racing Point F1 Team;Constructor;2;CR;10.7;130346;167.507;778154;130346;167.507;778154;-10.214;0.4395;0.055399999999998784;166.953;0.0;126.052;null;False;null;False;null;2;1;1.0;16.9;RAC;8;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/8/profile_RacingPoint-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/8/pitch_view_RacingPoint-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/8/player_list_RacingPoint-livery.png;Racing Point;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/teams/jerseys/8/RacingPoint-livery.png;0;null;null;null;True;94.0;;;;;;;;;;;;;;;null;4;1;5;1;0;73.0;2019;0;0;United Kingdom;4 (x1);null;1;10.1;2;True;Racing Point;580:196:RAC;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/players/profile/8/RacingPoint-livery.png;null;;
9;Alfa Romeo Racing Orlen;;Alfa Romeo Racing Orlen;Constructor;2;CR;8.4;8030;10.319;778154;8106;10.538;769198;-0.0651;0.0246;-0.036799999999999944;10.687;565.284;0.0;null;False;null;False;null;0;0;1.0;1.0;ALF;9;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/9/profile_AlfaRomeo-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/9/pitch_view_AlfaRomeo-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/9/player_list_AlfaRomeo-livery.png;Alfa Romeo Racing;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/teams/jerseys/9/AlfaRomeo-livery.png;0;null;null;null;True;57.0;;;;;;;;;;;;;;;null;1;1;1;1;0;922.0;1993;1;5;Switzerland;1 (x1);null;1;8.7;2;True;Alfa Romeo;581:133:ALF;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/players/profile/9/AlfaRomeo-livery.png;null;;
10;Scuderia AlphaTauri Honda;;Scuderia AlphaTauri Honda;Constructor;2;CR;12.7;13757;17.679;778154;13972;18.164;769198;-0.1005;0.0488;-0.09230000000000005;18.602;918.408;0.0;null;False;null;False;null;0;0;1.0;1.8;ALP;10;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/10/profile_AlphaTauri-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/10/pitch_view_AlphaTauri-livery.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/10/player_list_AlphaTauri-livery.png;AlphaTauri;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/teams/jerseys/10/AlphaTauri-livery.png;0;null;null;null;True;47.0;;;;;;;;;;;;;;;null;1;1;1;1;0;500.0;2006;1;1;Italy;1 (x1);null;1;13.2;2;True;AlphaTauri;598:159:ALP;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/players/profile/10/AlphaTauri-livery.png;null;;
11;Lewis;Hamilton;Mercedes-AMG Petronas F1 Team;Driver;1;DR;31.2;309145;39.728;778154;298840;388.509;769198;-11.106;21.355;12.762.000.000.000.000;384.518;0.0;597.612;null;False;null;False;null;3;3;1.0;39.9;MER;4;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/11/profile_Hamilton-headshot.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/11/pitch_view_Hamilton-headshot.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/11/player_list_Hamilton-headshot.png;null;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/teams/jerseys/4/Mercedes-livery.png;0;null;44;British;False;120.0;84;151;88;47;250;6;3431;1;84;1;88;1 (x84);Stevenage, England;null;;;;;;;;;;;;;07/01/1985;1;31.3;2;True;L. Hamilton;LEWHAM01:4;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/players/profile/11/Hamilton-Profile.png;null;;
12;Valtteri;Bottas;Mercedes-AMG Petronas F1 Team;Driver;1;DR;29.6;114989;147.772;778154;111811;14.536;769198;-0.4257;0.7367;0.6649000000000012;141.123;0.0;902.538;null;False;null;False;null;3;3;1.0;14.8;MER;4;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/12/profile_Bottas-headshot.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/12/pitch_view_Bottas-headshot.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/12/player_list_Bottas-headshot.png;null;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/teams/jerseys/4/Mercedes-livery.png;0;null;77;Finnish;False;103.0;7;45;11;13;140;0;1289;1;7;1;11;1 (x7);Nastola, Finland;null;;;;;;;;;;;;;28/08/1989;1;28.4;2;True;V. Bottas;VALBOT01:850;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/players/profile/12/Bottas-Profile.png;null;;
13;Sebastian;Vettel;Scuderia Ferrari Mission Winnow;Driver;1;DR;20.9;85417;109.769;778154;85536;110.266;775725;-0.4713;0.4108;-0.05579999999999963;110.327;118.396;0.0;null;False;null;False;null;1;2;1.0;11.0;FER;1;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/13/profile_Vettel-headshot.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/13/pitch_view_Vettel-headshot.png;https://f1imageuploads.s3.amazonaws.com/system/player_headshot/13/player_list_Vettel-headshot.png;null;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/teams/jerseys/1/Ferrari-livery.png;0;null;5;German;False;18.0;53;120;57;38;241;4;2985;1;53;1;57;1 (x53);Heppenheim, Germany;null;;;;;;;;;;;;;03/07/1987;1;21.8;2;True;S. Vettel;SEBVET01:3;https://f1imageuploads.s3.amazonaws.com/whitelabel/f1/production/season_3/players/profile/13/Vettel-Profile.png;null;;
